gearbox,optional,fuel_type_Benzyna+CNG,fuel_type_Benzyna+LPG,fuel_type_Diesel,fuel_type_Elektryczny,fuel_type_Hybryda,brand_model_target,age_normalized,mileage_normalized,engine_capacity_normalized
0,1,0,0,0,0,0,67996.18014705883,0.17857142857142858,10.33471786853032,0.14452830188679244
0,0,0,0,1,0,0,46461.84897360704,0.2857142857142857,12.304110918882833,0.23974842767295598
0,1,0,0,0,0,0,29716.826431718062,0.39285714285714285,12.483708170000067,0.16955974842767296
1,1,0,0,0,0,0,46461.84897360704,0.21428571428571427,11.67242183112224,0.2450314465408805
1,0,0,0,1,0,0,57739.69306930693,0.32142857142857145,12.303974917504476,0.3669182389937107
0,1,0,0,0,0,0,54687.483636363635,0.03571428571428571,10.140888975597038,0.19471698113207547
0,1,0,0,1,0,0,13461.777479892762,0.5714285714285714,12.556733038263905,0.2449056603773585
1,0,0,0,1,0,0,46461.84897360704,0.32142857142857145,12.117246896289503,0.20578616352201257
0,0,0,0,0,0,0,80067.44684684684,0.03571428571428571,7.937731775260109,0.180125786163522
0,1,0,0,1,0,0,445302.04761904763,0.7142857142857143,12.765691290604371,0.30754716981132074
1,1,0,0,0,0,0,109371.45819014891,0.32142857142857145,10.885584751364705,0.36842767295597484
0,1,0,0,0,0,0,43336.6640625,0.4642857142857143,12.132539123732863,0.13823899371069182
0,0,0,1,0,0,0,46139.48641304348,0.35714285714285715,12.345838935721968,0.15069182389937108
0,1,0,0,1,0,0,29716.826431718062,0.4642857142857143,12.73670383776449,0.20578616352201257
0,1,0,0,0,0,0,82020.27884615384,0.21428571428571427,11.002116507732017,0.18238993710691823
1,1,0,0,0,0,0,126590.82258064517,0.21428571428571427,11.280286979094218,0.35773584905660377
1,1,0,0,0,0,0,210380.27215189874,0.10714285714285714,10.949946527983677,0.2450314465408805
0,1,0,0,0,0,0,74650.71428571429,0.21428571428571427,11.217224661591072,0.14452830188679244
1,1,0,0,1,0,0,95431.93359375,0.17857142857142858,11.87688084212164,0.24465408805031447
0,1,0,0,0,0,0,40720.83678160919,0.17857142857142858,10.545367754151743,0.1179874213836478
0,1,0,0,1,0,0,25745.409090909092,0.39285714285714285,11.980432229642377,0.24125786163522012
1,1,0,0,0,0,0,99820.38362068965,0.21428571428571427,11.951186847493476,0.3708176100628931
0,0,0,0,1,0,0,40111.16035634744,0.42857142857142855,12.460718739865236,0.2449056603773585
0,1,0,0,0,0,0,78289.54189944133,0.32142857142857145,12.154784614286667,0.11924528301886793
1,1,0,0,0,0,0,106915.4512195122,0.21428571428571427,11.407576060361786,0.24415094339622642
0,1,0,0,0,0,0,41345.63157894737,0.2857142857142857,11.511564539330887,0.6164779874213836
0,0,0,0,0,0,0,10191.762589928057,0.5714285714285714,11.87757552297847,0.19471698113207547
1,1,0,0,0,0,0,103823.65168539326,0.10714285714285714,11.263194068746921,0.16125786163522013
0,1,0,0,1,0,0,34164.05063291139,0.32142857142857145,12.037659911047468,0.17748427672955974
0,1,0,0,0,0,0,39915.15632011967,0.07142857142857142,10.097078701588314,0.11937106918238993
1,1,0,0,1,0,0,34164.05063291139,0.5,12.111767460549332,0.24465408805031447
0,1,0,0,1,0,0,31897.781395348837,0.5,11.770393145328391,0.2449056603773585
0,0,0,0,1,0,0,40111.16035634744,0.4642857142857143,12.700771936142122,0.189937106918239
0,1,0,0,1,0,0,39915.15632011967,0.42857142857142855,12.211065162153215,0.189937106918239
0,1,0,0,0,0,0,39915.15632011967,0.32142857142857145,11.412010608265987,0.11924528301886793
1,0,0,0,0,0,0,106915.4512195122,0.32142857142857145,11.995357787034976,0.580251572327044
